ID,Technique,Description,Tags,Fields,Program,Abstract,Block
metac_001,What makes you say that?,"This thinking routine helps students reflect on their own knowledge. It can be very useful for critical thinking and defending hypotheses.

From the entry Thinking Routines:

## HOW TO APPLY IT:

In this thinking routine, students are asked to describe something, such as an object or concept. They then have to support their interpretation with evidence.

It is useful when used with objects such as works of art or historical artifacts, but it can also be used to explore a poem, make scientific observations and hypotheses, or investigate more conceptual ideas (i.e., democracy).

The routine can be adapted for use with almost any topic and can also be useful for gathering information or assessing students' general understanding when introducing a new subject.

## DEVELOPING THE ROUTINE:

In most cases, the routine is presented to a whole class or discussion group, using a central object or topic as a starting point. However, it can also be used in small groups or pairs. The first time you implement the routine with your students, you can help them by asking questions that guide them through the topic. This way, everyone can interpret and arrive at the routine's objective.

There are many basic questions, and they can be varied in number and form depending on the context. Some examples include: What do you know? What do you see or know that makes you say that? It might also be helpful to work on the students' interpretations of the topic being studied. In this way, we can use questions like: What do you see? or What do you know? Over time, students can begin to automatically support their interpretations with evidence, and eventually, they will begin to internalize the routine.","evidence, interpretation, critical thinking, metacognition, reflection","Thinking Routines, Information Processing and Analysis, Knowledge Building, Critical Thinking and Metacognition, Cohesion and Cooperation",,"A thinking routine in which students interpret an image, text, object, or situation and justify their response with evidence. It helps develop critical thinking, improve observation skills, substantiate hypotheses, and encourage students to explain the reasoning behind their ideas.",Active Methodologies and Thinking Routines
metac_002,Who's who?,"This activity aims to help students define themselves, not physically, but by focusing on their character, hobbies, or interests.

1. The teacher tells a short story, for example, that they will receive a visit from a famous person and have to write a letter of introduction.

2. The students write a letter talking about their interests, hobbies, personality, etc., but not about their physical appearance or what they are wearing. It's a good idea for the teacher to participate and write their own description as well.

3. The letters are read aloud one by one, and the students try to guess who wrote it.

Source: Romero, G.A. (2009). Techniques for working on classroom cohesion.","group cohesion, personal expression, active listening, oral presentation",Cohesion and Cooperation,,"A team-building activity where each student writes a personal description without mentioning their physical appearance, and the group tries to guess who it is. It helps foster mutual understanding, improve self-expression, and create a climate of trust within the class.",Cooperative Learning Organization
metac_003,1 - 2 - 4,"TEAM SIZE: Pairs and base teams.

OBJECTIVES: Activate prior knowledge, solve problems, review.

STEPS:

1. The teacher poses a question, problem, or activity.

1. Each student individually thinks about their opinion or what they believe is the correct answer and writes it down.

1. Students pair up. They exchange their answers, discuss them, and each pair writes down the answer they arrived at together.

1. The two pairs share their written answers, discuss them, and together develop a complete answer that incorporates the contributions of all members of the base team.

OBSERVATIONS AND PRACTICAL TIPS:

This structure combines individual activity with two of the most common groupings in cooperative learning: pairs and base teams.

It can be done orally or in writing.

It is very useful for correcting exercises. This can be combined with the Numbered Heads Together structure, where the teacher, after their presentation, allows students to provide the most appropriate answer or connects the students' responses, thus correcting the exercise.

We must carefully consider the time needed for each student to ensure equal participation.

The completion of the task by the teams can be accompanied by a reward from the group and the teacher, in the form of praise, applause, etc.

Source: Pérez, M. (2015). Cooperative Dynamics.

## Example of applying the Cooperative Technique: 1-2-4:

1. The science teacher poses a question about the solar system to their students: ""What are the main characteristics of the planet Mars?""

1. Each student thinks individually about their answer and writes it on a piece of paper.

2. The students pair up and exchange their answers. They discuss and comment on each other's answers and decide which are the most appropriate. Each pair then writes the final answer together.

1. The two pairs share their writing and discuss the differences and similarities between them. They develop a final answer that includes the contributions of all team members.

1. The teacher reviews the group's final answer and makes any necessary comments or corrections.","activation of prior knowledge, cooperation, pairs, synthesis, problem solving","Activation of Prior Knowledge, Problem Solving and Challenges, Cohesion and Cooperation",GeCo - Cooperative Team Generator|https://jjdeharo.github.io/geco/,"A cooperative learning technique in which students first think individually, then compare ideas in pairs, and finally agree on a group answer. It helps activate prior knowledge, solve problems, improve participation, and develop more comprehensive answers through progressive comparison.",Cooperative Learning Organization
metac_004,Analyze and Synthesize,"This thinking routine involves students analyzing a text or image and attempting to synthesize its key points. This routine is useful for helping students better understand the concepts or facts they are studying, and it also helps them develop analysis and synthesis skills. To use this routine, you can follow this process:

- Choose a text or image for students to analyze.

- Ask students to carefully read or observe the text or image.

- Ask students to identify the key points in the text or image.

- Ask students to synthesize the key points in a summary or outline.

- Review the students' summary or outline and provide feedback. You can do this individually or with the whole group, depending on the students' needs.","analysis, synthesis, comprehension, reading, feedback","Thinking Routines, Information Processing and Analysis, Critical Thinking and Metacognition",,"This routine involves students identifying the main ideas in a text, image, or other content and summarizing them in an organized way. It helps improve comprehension, develop analysis and synthesis skills, and check whether the essential points have been grasped.",Active Methodologies and Thinking Routines
metac_005,Apply Knowledge,"The ""Apply Knowledge"" thinking routine is a very useful tool to help students actively and reflectively use the knowledge they have acquired. This involves applying knowledge to new situations or problems in order to better understand concepts and use critical thinking to solve problems.

Teacher's Role:

1. Establish the goal of the routine: Before starting, it is important to explain to students the goal of the routine and how it relates to the material they are studying.

2. Provide the context: Give students a situation or problem where they need to use the knowledge they have acquired. This could be a question, situation, or problem that you have prepared or found from an external source.

3. Provide the resources: Ensure that they have the resources they need to solve the situation or problem they are facing. This could include reading materials, databases, online tools, etc.

4. Set a deadline: Set a deadline for students to complete the routine. This will help them manage their time and avoid leaving things until the last minute.

Student tasks:

1. Apply the knowledge you have acquired to solve the situation or problem provided. Use the tools and resources provided to help you do so.

2. Reflect on the process of solving the situation or problem. Explain how you used the knowledge you have acquired to do so, and what difficulties or successes you encountered.

3. Review the work you have done to ensure that you have applied the knowledge appropriately and reached reasonable conclusions. If anything is unclear, do not hesitate to ask for help or ask questions.","application of knowledge, problem-solving, critical thinking, reflection, autonomy","Thinking Routines, Problem Solving and Challenges, Information Processing and Analysis",,"A routine in which students use previously acquired knowledge to solve a new situation or problem. It serves to transfer learning, reinforce understanding, develop critical thinking, and reflect on how knowledge has been used in a specific context.",Active Methodologies and Thinking Routines
metac_006,Case-Based Learning (CBL),"It is a flexible model in which the teacher presents a case that students can read, explore, or discuss, allowing each student to develop their own opinion.

The cases are concrete situations or events from real life or simulated, but realistic. Students must analyze them or provide solutions.

## Application of the ABC Method

### 1. Individual Study
Objective: To analyze the case, assuming the role of a decision-maker, propose alternative solutions to the problem described in the case, select the most appropriate one, and formulate an action plan.

### 2. Group Discussion
Objectives:

1. Regarding the case: to exchange knowledge and experiences among group members, share information, and strengthen the case analysis.

2. Regarding the Method: To develop communication and teamwork skills.

### 3. Plenary Session
Objectives:
To conduct a constructive analysis of the case, based on individual student contributions, allowing, under the teacher's guidance, the clarification of concepts, the consolidation of positions, and the drawing of conclusions.

### 4. Evaluation
Criteria: (What is being evaluated?)

1. The level of preparation for the case
1. The strength of the argumentation
1. The ability to defend positions
1. The coherence of oral expression
1. The level of contribution to the discussion

Sources:

- AQU. (2009). Active and Formative Methodologies.

- López, A. (2008). The Case Method

## Example

Secondary school students are studying economics and have to work on the case of a local company experiencing financial difficulties. The professor can provide students with information about the company, such as its finances, products or services, competition, etc., and ask them to analyze the situation and propose solutions to the problems the company is experiencing.

1. Individual Case Study: Students should read and explore the case provided by the professor and develop their own opinion about the situation described. They should analyze the company's situation and propose different solutions to the problems the company is experiencing. Then, they should select the best solution and formulate an action plan to implement it.

1. Analyze the company's situation

1. Propose solutions to the problems the company is experiencing

1. Select the best solution

1. Formulate an action plan

2. Group Discussion: Students meet in groups to discuss the case and share their ideas and experiences related to the topic. This discussion aims to exchange knowledge and strengthen the case analysis, as well as improve students' communication and teamwork skills. 1. Exchange knowledge and experiences related to the case

1. Share information

1. Strengthen case analysis

1. Develop communication skills

1. Improve teamwork skills

1. Plenary session: After the group discussions, the professor leads a plenary session with the entire class to constructively analyze the case, clarify concepts, and consolidate positions. This session aims to reach solid conclusions based on the students' individual contributions.

1. Constructively analyze the case

1. Clarify concepts

1. Consolidate positions

1. Draw conclusions

1. Evaluation: Students are evaluated based on their level of preparation for the case, the strength of their arguments, their ability to defend their positions, the coherence of their oral expression, and their level of contribution to the discussion. 1. Level of case preparation

1. Strength of argumentation

1. Ability to defend positions

1. Coherence in oral expression

1. Level of contribution to the discussion

","case studies, analysis, decision making, argumentation, teamwork","Problem Solving and Challenges, Knowledge Building, Communication and Creativity",,"This methodology presents students with a realistic case study for analysis, discussion, and proposed solutions. It helps develop decision-making, argumentation, understanding of complex situations, and teamwork skills.",Active Methodologies and Thinking Routines
metac_007,Game-Based Learning (GBL),"Game-based learning (GBL) is based on the **use of educational games** to improve student motivation and the acquisition of knowledge and skills during their learning process. Specifically, it refers to digital or computer-based games, although it also includes traditional games, with the aim of supporting education, learning, or assessment. It is considered an effective way to motivate students and engage them in active learning experiences.

The games used in GBL are typically created specifically for educational purposes.

A key difference between gamification and **game-based learning** is that the former uses game techniques to perform formal activities (earning points, leveling up, obtaining a badge, etc.), while the latter **uses games**, not just their techniques.

Comparison of GBL with other methodologies:

| GAME | GAMIFICATION | GBL |

---|---|---|

|Games are used|Game techniques are used to carry out formal activities|Games are used, not just their techniques|

The goal is to have fun|Set of tasks with a set reward|Game with defined learning objectives|

Winning or losing is part of the game|Motivate for learning|Motivate for learning|

The purpose is to play|The game is the driving force|The game is the reward|

Adapted from Wikipedia.

## Example

An example of game-based learning (GBL) in secondary education could be the following:

Imagine that secondary school students are studying history and the teacher wants to use GBL to help them improve their understanding of historical events. The teacher can use a digital or traditional game in which students have to answer questions about the period they are studying and complete related activities. For example, the game could consist of a series of levels in which students answer questions about key historical events, complete crossword puzzles or games related to the period they are studying, or use resources such as maps or images to help them better understand the historical context. The game can incorporate various motivating elements, such as points, levels, or badges, to encourage students and make learning more active.","play, motivation, active learning, cooperation, creativity","Knowledge Building, Formative Assessment and Feedback, Cohesion and Cooperation, Communication and Creativity",QPlay: Interactive Contest|https://jjdeharo.github.io/qplay/,"A methodology that uses educational games, both digital and analog, with defined learning objectives. It serves to increase motivation, encourage active participation, and develop content or skills through playful activities with an educational purpose.",Active Methodologies and Thinking Routines
metac_008,Inquiry-Based Learning,"## Description
A methodology in which learning is organized around questions, observations, or problems that students must investigate. This can be a teacher-guided inquiry or a more open-ended one, depending on the group's autonomy.

## How it Works
1. A researchable question or a situation that sparks curiosity is presented.

2. Students formulate initial explanations or hypotheses.

3. They search for information, make observations, conduct experiments, or analyze data.

4. They organize the evidence obtained.

5. They develop an explanation and communicate it.

6. They review what they have learned and what new questions arise.

## Objectives
- To develop scientific thinking and evidence-based reasoning.

- To improve the ability to formulate researchable questions.

- To connect data, explanations, and conclusions.

## Example
In biology, students investigate why some seeds germinate better than others. They design a small test with different light or humidity conditions, collect data, and justify their conclusions.","inquiry, questions, hypotheses, research, evidence, scientific thinking","Knowledge Building, Information Processing and Analysis, Critical Thinking and Metacognition",,"A methodology in which learning begins with questions, observations, or problems that students must investigate. It serves to develop scientific thinking, formulate hypotheses, gather evidence, and construct reasoned explanations from data.",Active Methodologies and Thinking Routines
metac_009,Action-Based Learning (ABL),"Action-Based Learning (ABL) is understood as a teaching and learning strategy or methodology based on cooperative work around activities that meet the following criteria: **adequate instrumental and social mediation** and **an intellectual, emotional, and territorial connection**.

Teaching and learning processes are generated through collaborative work, guided by the teacher, around a combination of **contextualized situations, outside the classroom**, and **decontextualized situations, within the classroom**.

It is the study, analysis, or action in reality of an aspect of the environment.

Just as PBL (Problem-Based Learning) allows overcoming the limitation of ""silence in the classroom"" through the practice of individual and collective work around learning situations and objectives, **ABL allows overcoming the limitation of the boundary between the decontextualized classroom and reality or the contextualized life world**. In this sense, ABL's contribution to PBL lies in its emphasis on creating meaningful activities linked to the territory, that is, **the real environment in which the students move**.

- Phase 1. Prior knowledge, clarification of learning objectives, schedule, and group discussion.

- Phase 2. Activity implementation. The following planned activities are carried out in subsequent classes. This phase includes contextualized work outside the classroom and decontextualized work, as well as classroom discussion of materials.

- Phase 3. Presentation of the experience. Finally, students reflect on, share, and evaluate the experience.

Adapted from: Esteban, M. (2011). From “Problem-Based Learning” (PBL) to “Action-Based Learning” (ABL). Keys to their complementarity and implementation.

## Example

An example of action-based learning (ABL) in secondary education could be the following:

Imagine that secondary school students are studying the environment and the teacher wants to use ABL to help them better understand the importance of protecting natural resources. The teacher can plan an activity in which students work collaboratively to research a specific environmental problem, such as water degradation or air pollution, in their community. They then design an awareness campaign to promote the preservation of natural resources and present it to the rest of the class. This activity includes both contextualized tasks, such as conducting interviews or making field observations, and decontextualized tasks, such as using digital resources or creating promotional materials. At the end of the activity, the students reflect on the process they followed and share the results of their campaign with the class. This example shows how ABL can use a combination of contextualized and decontextualized situations to help students connect with their environment and develop skills and knowledge in a meaningful way.","situated learning, action, environment, cooperation, reflection","Knowledge Building, Problem Solving and Challenges, Cohesion and Cooperation",,"A methodology based on activities linked to the students' real-world environment. It serves to connect learning with contextualized situations, promote cooperation, encourage reflection, and give practical meaning to the content covered.",Active Methodologies and Thinking Routines
metac_010,Research-Based Learning (RBL),"Research-based learning (RBL) involves conducting or participating in research processes, applying the methodology to verify or refute a hypothesis, to solve a problem, or to answer a posed question, with guidance and supervision throughout the process.

It is, therefore, about applying the scientific method to investigate.

Laboratory-based learning is a specific case of this type of learning.

There are 5 possible objectives of RBL:

1. Describe
1. Compare
1. Evaluate
1. Explain or predict
1. Design or develop

## Classroom Implementation

1. **Identify problems or problematic situations that require research**. The students themselves are responsible for finding problems they want to solve or investigate, with the teacher acting as a facilitator and guide to help them achieve the expected results.

1. **Structure the problem**. As a research-based strategy, the scientific method must be used to structure the topic or problem to be investigated. In this phase, students can formulate hypotheses that will help solve the problem.

1. **Theorize about possible solutions**. It is important that students, using their creativity and ingenuity, are able to theorize the conclusions or solutions they may find along the research path.

1. **Choose a methodology to investigate alternative solutions**. At this point, the teacher's role is crucial in ensuring that students are familiar with the various research methodologies available and can choose the most appropriate one for their work.

1. **Generate evidence based on the research**. This will lend weight and validity to their work.

1. **Analyze information or data**. It is important that students can analyze, compare, differentiate, and draw conclusions based on the data found in their research.

1. **Use inductive and hypothetico-deductive reasoning**. 1. **Formulate inferences and conclusions through a rigorous scientific inquiry process.** This point, along with the previous one, distinguishes it from other current strategies, such as project-based or problem-based learning, since Research-Based Learning (RBL) requires the rigor of the scientific method, which other learning approaches do not necessarily employ.

Another, simpler version of the steps to follow is:

1. **Explanation of the context.** The problem is explained to the students.

2. **Eliciting prior knowledge.** These are questions or activities to assess what the students already know.

3. **Research question.** The research question is presented, which may relate to material already covered in class. It is important that this question can be answered using the methods specific to the subject being taught.

4. **Hypothesis.** The students formulate hypotheses about possible answers to the question. 1. **Hypothesis Verification.** Through experimentation (in the case of an experimental problem), data collection, and analysis.

1. **Preparation of Results and Presentation to the Rest of the Class.**

Sources:

- Briceño, G. (2021). Inquiry-Based Learning: An Educational Strategy for the Development of Competencies.

- UPM Educational Innovation Service (July 2020). Inquiry-Based Learning.

- Lamelo, O.S. (2015). Critical Thinking Toolbox

---
## Example
An example of research-based learning could be a group of students who want to investigate the effect of different types of fertilizers on plant growth.

1. Identify problems or problematic situations that require investigation. The students have identified the effect of different types of fertilizers on plant growth as a problem or problematic situation to investigate.

1. Structure the Problem. To structure the problem, the students established a hypothesis: ""Organic fertilizer provides better plant growth than chemical fertilizer.""

1. Theorize about possible solutions. The students theorized about possible solutions, such as using different types of fertilizers and distributing them on the plants in different ways.

2. Choose a methodology to investigate alternative solutions. The teacher helped the students choose an appropriate methodology to investigate the effect of different types of fertilizers on plant growth, such as conducting experiments with different groups of plants and measuring their growth each week.

3. Generate evidence based on the investigation. To generate evidence, the students took photographs or measured plant growth each week.

4. Analyze information or data. The students analyzed the collected data and compared plant growth with different types of fertilizers.

5. Use inductive and hypothetico-deductive reasoning. Students have used inductive and hypothetico-deductive reasoning to draw conclusions about the effect of different types of fertilizers on plant growth.

1. Formulate inferences and conclusions through a scientifically rigorous inquiry process. Students have formulated inferences and conclusions about the effect of different types of fertilizers on plant growth using a scientifically rigorous inquiry process.

We can also use a simpler structure for the same problem:

1. Context explanation. Students are informed that they want to investigate the effect of different types of fertilizers on plant growth.

2. Eliciting prior knowledge. Students are asked questions about what they know regarding fertilizers and plant growth to assess their prior knowledge on the topic.

3. Research question. The question, ""Which type of fertilizer provides better plant growth: organic fertilizer or chemical fertilizer?"" is presented to the students.

4. Hypothesis. Students formulate hypotheses about possible answers to the question, such as, ""We believe that organic fertilizer will provide better plant growth than chemical fertilizer.""

1. Hypothesis testing. Students conduct experiments with different groups of plants fertilized with organic or chemical fertilizers and measure their growth each week to verify whether the hypothesis is correct.

2. Results analysis and presentation to the class. Students analyze the collected data and draw conclusions about the effect of different types of fertilizers on plant growth. They then present their research findings to the class clearly and with scientific rigor.","research, scientific method, hypothesis, data, critical thinking, presentation","Information Processing and Analysis, Knowledge Building, Problem Solving and Challenges, Critical Thinking and Metacognition, Cohesion and Cooperation, Communication and Creativity",,"A methodology in which students investigate a question or problem following procedures of the scientific method. It serves to formulate hypotheses, analyze data, draw conclusions, and develop critical thinking and rigor in the search for answers.",Active Methodologies and Thinking Routines
